file_path,transcript,emotion,duration
/content/drive/MyDrive/266/Tacotron2/emovdb/wavs/train_3253.wav,"Mercedes screamed, cried, laughed, and manifested the chaotic abandonment of hysteria.",Amused,13.1628125
/content/drive/MyDrive/266/Tacotron2/emovdb/wavs/train_4282.wav,He cried in such genuine dismay that she broke into hearty laughter.,Amused,12.752
/content/drive/MyDrive/266/Tacotron2/emovdb/wavs/train_1582.wav,"In the car were Unwin and Harrison, while Jones sat with the chauffeur.",Sleepy,12.06175
/content/drive/MyDrive/266/Tacotron2/emovdb/wavs/train_795.wav,This tacit promise of continued acquaintance gave Saxon a little joy-thrill.,Sleepy,11.6909375
/content/drive/MyDrive/266/Tacotron2/emovdb/wavs/train_536.wav,A combination of Canadian capital quickly organized and petitioned for the same privileges.,Sleepy,11.47022917
/content/drive/MyDrive/266/Tacotron2/emovdb/wavs/train_1877.wav,Now go ahead and tell me in a straightforward way what has happened.,Sleepy,10.8611875
/content/drive/MyDrive/266/Tacotron2/emovdb/wavs/train_843.wav,"Bob, growing disgusted, turned back suddenly and attempted to pass Mab.",Disgusted,10.8233125
/content/drive/MyDrive/266/Tacotron2/emovdb/wavs/train_935.wav,"Youth had come back to her, freed from the yoke of oppression.",Amused,10.63575
/content/drive/MyDrive/266/Tacotron2/emovdb/wavs/train_3719.wav,But in the canyons water was plentiful and also a luxuriant forest growth.,Disgusted,10.4476875
/content/drive/MyDrive/266/Tacotron2/emovdb/wavs/train_1752.wav,"The woman in you is only incidental, accidental, and irrelevant.",Amused,10.338875
/content/drive/MyDrive/266/Tacotron2/emovdb/wavs/train_4710.wav,"He is too keenly intelligent, too sharply sensitive, successfully to endure.",Sleepy,10.21910417
/content/drive/MyDrive/266/Tacotron2/emovdb/wavs/train_1899.wav,"All eyes, however, were staring at him in certitude of expectancy.",Sleepy,10.21639583
/content/drive/MyDrive/266/Tacotron2/emovdb/wavs/train_1918.wav,To my surprise he began to show actual enthusiasm in my favor.,Sleepy,10.19489583
/content/drive/MyDrive/266/Tacotron2/emovdb/wavs/train_4104.wav,The butchers and meat cutters refused to handle meat destined for unfair restaurants.,Disgusted,10.193875
/content/drive/MyDrive/266/Tacotron2/emovdb/wavs/train_2448.wav,O'Brien had been a clean living young man with ideals.,Amused,10.190375
/content/drive/MyDrive/266/Tacotron2/emovdb/wavs/train_56.wav,By that answer my professional medical prestige stood or fell.,Amused,10.1156875
/content/drive/MyDrive/266/Tacotron2/emovdb/wavs/train_2406.wav,They look as though he had been drumming a piano all his life.,Sleepy,10.10729167
/content/drive/MyDrive/266/Tacotron2/emovdb/wavs/train_2500.wav,"Wada, Louis, and the steward are servants of Asiatic breed.",Disgusted,10.09725
/content/drive/MyDrive/266/Tacotron2/emovdb/wavs/train_3772.wav,"McCoy found a stifling, poisonous atmosphere in the pent cabin.",Sleepy,10.0928125
/content/drive/MyDrive/266/Tacotron2/emovdb/wavs/train_596.wav,"All eyes, however, were staring at him in certitude of expectancy.",Amused,10.086125
/content/drive/MyDrive/266/Tacotron2/emovdb/wavs/train_4480.wav,"In the car were Unwin and Harrison, while Jones sat with the chauffeur.",Disgusted,10.036375
